,Φύλο,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85 και άνω
0,Άνδρες,2985,2822,2822,2822,2518,3308,4192,4192,4192,3750,3308,2822,2063,1492,1492,1038,688,159
1,Γυναίκες,2985,2518,2822,2822,2985,3750,4192,4192,4192,3750,3308,2518,2063,1772,2063,1772,1038,444
